Alloy_System,Coating_Type,Chemical_Species,pH,Temperature_C,Humidity_%,Exposure_Duration_days,Flow_Condition,Stress_State,Corrosion_Rate_mpy
Copper Alloy,Phosphate Conversion,Carbonate,11,80,10,1774,Static,High,1.554784277
Copper Alloy,Nickel Coating,Mixed,4,20,25,1643,Dynamic,High,1.550679923
Nickel-Based Alloy,Paint Coating,Sulfate,4,85,30,129,Static,Moderate,1.546706936
Nickel-Based Alloy,Nickel Coating,Carbonate,12,10,35,3177,Dynamic,Low,1.545294456
Aluminum Alloy,Chromium Coating,Carbonate,8,100,20,152,Static,Low,1.542821645
Titanium-Based Alloy,Anodized Coating,Sulfate,6,60,85,120,Dynamic,Moderate,1.538563748
Nickel-Based Alloy,Nickel Coating,Carbonate,5,35,70,2904,Static,Moderate,1.528402053
Titanium-Based Alloy,Polymer Coating,Sulfate,12,35,85,3194,Static,Low,1.528341297
Nickel-Based Alloy,Zinc Coating,Mixed,2,5,25,2561,Dynamic,High,1.517507184
Copper Alloy,Phosphate Conversion,Nitrate,9,65,20,1228,Static,High,1.503628724
Stainless Steel,Nickel Coating,Mixed,4,25,35,2489,Static,High,1.492601837
Nickel-Based Alloy,Nickel Coating,Mixed,3,60,25,3549,Dynamic,Moderate,1.489257645
Stainless Steel,Chromium Coating,Nitrate,12,20,20,418,Static,Moderate,1.474748679
Titanium-Based Alloy,Phosphate Conversion,Chloride,3,50,30,1834,Dynamic,Moderate,1.4674247
Stainless Steel,Anodized Coating,Chloride,10,-20,35,3589,Dynamic,Low,1.466412204
Nickel-Based Alloy,Paint Coating,Carbonate,3,30,40,3609,Static,Moderate,1.455507951
Aluminum Alloy,Chromium Coating,Mixed,5,5,20,3434,Dynamic,Moderate,1.45453481
Composite Material,Polymer Coating,Chloride,11,75,95,1142,Static,Moderate,1.454311041
Nickel-Based Alloy,Zinc Coating,Carbonate,7,5,90,2015,Static,Low,1.452675894
Nickel-Based Alloy,Chromium Coating,Sulfate,6,15,25,1509,Dynamic,High,1.445454132
Titanium-Based Alloy,Anodized Coating,Nitrate,2,65,35,1447,Dynamic,High,1.440450228
Nickel-Based Alloy,Zinc Coating,Chloride,4,-5,35,1132,Static,High,1.43852712
Stainless Steel,Paint Coating,Carbonate,2,100,20,628,Static,Moderate,1.4154254
Aluminum Alloy,Nickel Coating,Chloride,8,-10,15,400,Dynamic,Low,1.38655395
Composite Material,Anodized Coating,Chloride,5,95,100,667,Dynamic,Moderate,1.380879115
Titanium-Based Alloy,Polymer Coating,Mixed,11,10,65,3285,Dynamic,High,1.380324125
Copper Alloy,Paint Coating,Carbonate,8,60,20,2793,Static,Moderate,1.379420434
Aluminum Alloy,Phosphate Conversion,Carbonate,5,55,15,2353,Static,High,1.362708827
Nickel-Based Alloy,Chromium Coating,Mixed,4,-5,90,2857,Dynamic,Low,1.356779368
Titanium-Based Alloy,Anodized Coating,Sulfate,4,60,95,717,Static,Moderate,1.353650285
Stainless Steel,Polymer Coating,Nitrate,7,0,55,2207,Static,Low,1.352809704
Titanium-Based Alloy,Anodized Coating,Chloride,9,65,60,152,Dynamic,Low,1.352315178
Stainless Steel,Zinc Coating,Chloride,9,-10,35,789,Static,Low,1.350038733
Nickel-Based Alloy,Zinc Coating,Sulfate,6,35,20,1175,Dynamic,High,1.32466864
Nickel-Based Alloy,Polymer Coating,Mixed,6,95,35,2655,Dynamic,Low,1.322245931
Aluminum Alloy,Nickel Coating,Nitrate,4,75,10,2362,Static,High,1.320796984
Titanium-Based Alloy,Chromium Coating,Carbonate,11,45,60,2089,Static,High,1.319389023
Copper Alloy,Phosphate Conversion,Mixed,10,5,25,1256,Dynamic,Moderate,1.313935463
Stainless Steel,Polymer Coating,Sulfate,3,90,10,3218,Dynamic,Low,1.310202433
Nickel-Based Alloy,Paint Coating,Carbonate,5,-20,65,2585,Static,High,1.305900553
Titanium-Based Alloy,Anodized Coating,Mixed,9,60,95,3324,Static,High,1.30198617
Nickel-Based Alloy,Polymer Coating,Carbonate,9,75,25,1415,Dynamic,High,1.299118129
Composite Material,Zinc Coating,Chloride,11,15,100,3021,Static,High,1.295567587
Stainless Steel,Anodized Coating,Sulfate,12,-20,20,266,Static,High,1.295190203
Nickel-Based Alloy,Zinc Coating,Sulfate,10,-10,45,2621,Static,Moderate,1.289076321
Nickel-Based Alloy,Phosphate Conversion,Sulfate,5,45,30,34,Dynamic,Moderate,1.278821608
Titanium-Based Alloy,Phosphate Conversion,Chloride,9,45,85,2692,Static,Low,1.273485614
Stainless Steel,Phosphate Conversion,Nitrate,7,85,25,3262,Static,Low,1.266395323
Titanium-Based Alloy,Nickel Coating,Sulfate,4,15,100,2436,Dynamic,Low,1.266191722
Nickel-Based Alloy,Nickel Coating,Chloride,7,75,15,1056,Static,High,1.26501992
Copper Alloy,Paint Coating,Nitrate,10,65,15,156,Dynamic,Low,1.262588268
Nickel-Based Alloy,Nickel Coating,Nitrate,2,70,20,1236,Dynamic,Low,1.252384408
Titanium-Based Alloy,Zinc Coating,Sulfate,7,70,80,1029,Dynamic,Low,1.249090909
Titanium-Based Alloy,Nickel Coating,Chloride,10,30,90,649,Static,Moderate,1.242891894
Stainless Steel,Phosphate Conversion,Mixed,3,-20,40,1901,Dynamic,Low,1.23941227
Nickel-Based Alloy,Nickel Coating,Nitrate,8,-5,50,3036,Dynamic,Low,1.238451939
Titanium-Based Alloy,Phosphate Conversion,Nitrate,2,35,65,199,Dynamic,Low,1.236936766
Composite Material,Nickel Coating,Chloride,7,85,85,956,Dynamic,High,1.236314388
Stainless Steel,Phosphate Conversion,Carbonate,7,35,30,1576,Static,High,1.226083294
Composite Material,Phosphate Conversion,Chloride,2,50,65,364,Static,High,1.218161161
Stainless Steel,Paint Coating,Carbonate,7,95,15,3118,Dynamic,High,1.217010573
Carbon Steel,Paint Coating,Mixed,5,20,10,322,Static,Moderate,1.215696597
Composite Material,Nickel Coating,Chloride,3,45,75,3132,Dynamic,Moderate,1.211986668
Titanium-Based Alloy,Chromium Coating,Sulfate,9,95,80,3108,Static,Low,1.183738518
Composite Material,Zinc Coating,Chloride,11,60,75,609,Dynamic,Moderate,1.1603831
Composite Material,Paint Coating,Sulfate,2,65,70,3523,Dynamic,High,1.151547608
Titanium-Based Alloy,Chromium Coating,Mixed,5,85,100,2577,Dynamic,Low,1.149694947
Nickel-Based Alloy,Nickel Coating,Mixed,7,5,70,1879,Static,Moderate,1.147466108
Nickel-Based Alloy,Paint Coating,Sulfate,10,95,15,893,Dynamic,High,1.144691762
Carbon Steel,Paint Coating,Mixed,10,-10,10,99,Static,Moderate,1.141786269
Titanium-Based Alloy,Paint Coating,Carbonate,3,65,60,761,Dynamic,Low,1.140558701
Stainless Steel,Zinc Coating,Sulfate,10,10,35,2774,Static,Low,1.13681489
Composite Material,Zinc Coating,Chloride,4,90,65,3105,Dynamic,High,1.12821169
Nickel-Based Alloy,Zinc Coating,Nitrate,7,80,30,1027,Dynamic,Low,1.127372744
Composite Material,Chromium Coating,Sulfate,2,100,70,71,Dynamic,Moderate,1.123411752
Stainless Steel,Zinc Coating,Chloride,7,40,15,1118,Static,High,1.120397106
Composite Material,Phosphate Conversion,Sulfate,9,80,90,1332,Dynamic,High,1.109689098
Titanium-Based Alloy,Chromium Coating,Nitrate,5,70,80,1686,Static,Moderate,1.105550083
Nickel-Based Alloy,Polymer Coating,Carbonate,11,0,25,778,Static,High,1.104998588
Nickel-Based Alloy,Anodized Coating,Mixed,10,25,35,1353,Dynamic,High,1.103165778
Nickel-Based Alloy,Zinc Coating,Carbonate,8,-20,55,598,Static,High,1.097207808
Composite Material,Anodized Coating,Nitrate,12,55,95,2841,Dynamic,Moderate,1.094350029
Titanium-Based Alloy,Paint Coating,Sulfate,7,100,55,3020,Dynamic,Moderate,1.092777486
Nickel-Based Alloy,Polymer Coating,Nitrate,6,-5,50,2500,Static,Moderate,1.089368427
Titanium-Based Alloy,Nickel Coating,Carbonate,3,30,65,1217,Dynamic,Low,1.088114278
Aluminum Alloy,Anodized Coating,Nitrate,8,5,15,1687,Static,Moderate,1.079422993
Nickel-Based Alloy,Polymer Coating,Chloride,2,65,10,2652,Dynamic,Low,1.07447851
Nickel-Based Alloy,Nickel Coating,Carbonate,9,5,60,297,Dynamic,Low,1.053465875
Stainless Steel,Polymer Coating,Sulfate,4,10,35,3128,Static,Low,1.052536515
Nickel-Based Alloy,Anodized Coating,Chloride,5,-15,25,1901,Dynamic,Moderate,1.052420425
Stainless Steel,Chromium Coating,Carbonate,12,-5,25,385,Static,High,1.051362004
Copper Alloy,Anodized Coating,Mixed,12,15,10,3550,Dynamic,High,1.049982775
Nickel-Based Alloy,Paint Coating,Mixed,7,35,60,275,Static,Low,1.049556107
Nickel-Based Alloy,Chromium Coating,Mixed,4,-20,40,2375,Dynamic,High,1.049464255
Stainless Steel,Anodized Coating,Sulfate,4,40,20,717,Static,High,1.046114149
Composite Material,Zinc Coating,Mixed,12,35,95,3425,Dynamic,High,1.037102699
Nickel-Based Alloy,Phosphate Conversion,Nitrate,4,30,40,3022,Dynamic,Low,1.035388804
Nickel-Based Alloy,Paint Coating,Mixed,10,20,40,620,Dynamic,Low,1.03075132
Nickel-Based Alloy,Polymer Coating,Mixed,6,-15,70,777,Static,Low,1.02932044
Composite Material,Anodized Coating,Nitrate,3,90,85,1672,Static,High,1.028654508
Copper Alloy,Polymer Coating,Mixed,4,0,20,659,Dynamic,Moderate,1.021044574
Titanium-Based Alloy,Nickel Coating,Sulfate,2,0,45,934,Static,High,1.020695629
Titanium-Based Alloy,Nickel Coating,Mixed,5,85,65,2764,Dynamic,Moderate,1.015093764
Copper Alloy,Anodized Coating,Sulfate,9,55,10,777,Static,High,1.008460985
Titanium-Based Alloy,Zinc Coating,Mixed,11,10,65,509,Dynamic,High,1.00721274
Titanium-Based Alloy,Nickel Coating,Nitrate,2,0,80,3599,Static,Low,1.00253983
Titanium-Based Alloy,Paint Coating,Chloride,8,80,25,2473,Dynamic,High,1.002246131
Stainless Steel,Paint Coating,Nitrate,9,100,15,245,Static,High,1.001097486
Nickel-Based Alloy,Anodized Coating,Mixed,4,0,60,2236,Static,Low,1.001071311
Nickel-Based Alloy,Paint Coating,Mixed,8,15,50,232,Dynamic,Low,0.999717755
Nickel-Based Alloy,Zinc Coating,Sulfate,6,90,15,54,Dynamic,Low,0.998797435
Stainless Steel,Anodized Coating,Carbonate,6,-20,65,3570,Static,Low,0.996134272
Titanium-Based Alloy,Phosphate Conversion,Nitrate,8,35,85,1645,Static,Moderate,0.987155438
Aluminum Alloy,Nickel Coating,Mixed,9,60,15,24,Static,Moderate,0.982064506
Stainless Steel,Polymer Coating,Mixed,10,100,15,780,Static,High,0.977112743
Titanium-Based Alloy,Anodized Coating,Nitrate,11,-10,75,3340,Dynamic,Moderate,0.972556577
Nickel-Based Alloy,Zinc Coating,Nitrate,6,-20,65,1757,Static,Moderate,0.971599007
Titanium-Based Alloy,Chromium Coating,Sulfate,8,30,65,1884,Dynamic,Moderate,0.971547891
Nickel-Based Alloy,Zinc Coating,Chloride,7,0,25,406,Static,Moderate,0.969735424
Titanium-Based Alloy,Nickel Coating,Chloride,6,45,50,434,Static,Moderate,0.968572475
Composite Material,Paint Coating,Carbonate,2,85,65,882,Dynamic,High,0.947128011
Titanium-Based Alloy,Chromium Coating,Sulfate,9,45,80,2167,Static,Moderate,0.946754448
Copper Alloy,Chromium Coating,Nitrate,4,20,25,2707,Static,Low,0.928855682
Composite Material,Anodized Coating,Chloride,2,90,60,611,Static,Moderate,0.922269478
Titanium-Based Alloy,Anodized Coating,Sulfate,2,30,35,2983,Dynamic,Low,0.920939262
Titanium-Based Alloy,Zinc Coating,Mixed,2,-15,95,978,Dynamic,Low,0.912653125
Nickel-Based Alloy,Nickel Coating,Mixed,3,50,25,516,Static,Low,0.912443911
Titanium-Based Alloy,Chromium Coating,Chloride,9,-10,100,604,Static,Moderate,0.910668166
Titanium-Based Alloy,Anodized Coating,Sulfate,6,75,45,3303,Dynamic,Low,0.907450755
Copper Alloy,Chromium Coating,Carbonate,10,25,20,1283,Static,Low,0.897772254
Titanium-Based Alloy,Chromium Coating,Mixed,11,40,40,2488,Static,High,0.89252458
Composite Material,Anodized Coating,Chloride,4,45,90,467,Dynamic,Moderate,0.890700722
Aluminum Alloy,Nickel Coating,Mixed,9,25,15,2103,Static,Moderate,0.886924243
Titanium-Based Alloy,Zinc Coating,Chloride,6,-10,85,1150,Static,Moderate,0.886532016
Titanium-Based Alloy,Nickel Coating,Carbonate,4,70,85,588,Static,High,0.882895798
Composite Material,Chromium Coating,Sulfate,2,95,65,1580,Static,Moderate,0.879158274
Titanium-Based Alloy,Phosphate Conversion,Nitrate,8,75,85,2091,Static,Low,0.874273278
Titanium-Based Alloy,Polymer Coating,Carbonate,10,55,100,906,Static,Moderate,0.873081429
Nickel-Based Alloy,Zinc Coating,Nitrate,5,-10,50,159,Dynamic,Low,0.869122446
Nickel-Based Alloy,Zinc Coating,Chloride,6,15,20,1490,Dynamic,Low,0.865965324
Copper Alloy,Nickel Coating,Nitrate,8,100,10,2362,Static,Moderate,0.865295567
Titanium-Based Alloy,Anodized Coating,Nitrate,3,35,45,263,Dynamic,Low,0.861118144
Titanium-Based Alloy,Polymer Coating,Nitrate,5,5,60,3246,Dynamic,High,0.856701556
Stainless Steel,Nickel Coating,Carbonate,12,0,15,1313,Dynamic,High,0.854441852
Titanium-Based Alloy,Chromium Coating,Carbonate,3,-5,45,1900,Dynamic,High,0.843290456
Composite Material,Chromium Coating,Chloride,4,65,90,193,Static,Moderate,0.842854727
Titanium-Based Alloy,Polymer Coating,Carbonate,5,-15,95,2168,Dynamic,High,0.839334853
Stainless Steel,Anodized Coating,Carbonate,12,35,15,1325,Dynamic,Low,0.833180183
Titanium-Based Alloy,Zinc Coating,Nitrate,12,25,55,732,Static,Low,0.819170236
Aluminum Alloy,Paint Coating,Mixed,8,10,15,581,Dynamic,Low,0.81872435
Copper Alloy,Paint Coating,Chloride,7,20,10,1011,Dynamic,Low,0.818480737
Titanium-Based Alloy,Phosphate Conversion,Chloride,12,-15,35,227,Dynamic,Moderate,0.817911814
Aluminum Alloy,Chromium Coating,Mixed,5,10,15,2043,Static,Moderate,0.817835088
Titanium-Based Alloy,Phosphate Conversion,Mixed,2,30,65,2338,Static,Low,0.812318521
Titanium-Based Alloy,Phosphate Conversion,Sulfate,8,-5,75,2540,Dynamic,Low,0.811399867
Stainless Steel,Anodized Coating,Sulfate,8,-20,25,39,Dynamic,Moderate,0.809951013
Stainless Steel,Nickel Coating,Mixed,6,40,15,3575,Dynamic,High,0.80982059
Titanium-Based Alloy,Phosphate Conversion,Nitrate,3,70,35,2388,Dynamic,Low,0.808915369
Composite Material,Paint Coating,Carbonate,12,95,70,1908,Dynamic,High,0.803744174
Nickel-Based Alloy,Anodized Coating,Chloride,5,0,15,1694,Dynamic,Moderate,0.801401764
Titanium-Based Alloy,Nickel Coating,Carbonate,8,35,80,3495,Dynamic,Low,0.800103529
Stainless Steel,Nickel Coating,Mixed,8,5,30,2560,Dynamic,Low,0.799070393
Titanium-Based Alloy,Nickel Coating,Mixed,12,-20,85,397,Static,Moderate,0.795169558
Copper Alloy,Zinc Coating,Carbonate,2,-15,15,909,Dynamic,Low,0.785805172
Titanium-Based Alloy,Phosphate Conversion,Chloride,4,60,50,3159,Static,Low,0.785339529
Titanium-Based Alloy,Polymer Coating,Nitrate,6,15,70,482,Dynamic,High,0.78488508
Aluminum Alloy,Chromium Coating,Carbonate,4,-5,20,3029,Static,Low,0.781222031
Titanium-Based Alloy,Polymer Coating,Mixed,5,65,55,3348,Dynamic,Moderate,0.781010556
Titanium-Based Alloy,Paint Coating,Carbonate,2,-15,80,2812,Dynamic,Moderate,0.780607946
Titanium-Based Alloy,Nickel Coating,Chloride,8,-5,60,3133,Static,Moderate,0.779741714
Titanium-Based Alloy,Polymer Coating,Mixed,12,-20,100,3400,Static,Moderate,0.777970324
Composite Material,Nickel Coating,Mixed,12,50,85,915,Static,High,0.776657896
Composite Material,Nickel Coating,Mixed,2,30,85,1375,Dynamic,High,0.770141077
Copper Alloy,Paint Coating,Nitrate,4,45,10,599,Dynamic,Low,0.766654825
Titanium-Based Alloy,Chromium Coating,Chloride,9,-10,65,260,Dynamic,Moderate,0.761332394
Copper Alloy,Nickel Coating,Nitrate,4,10,15,422,Dynamic,Low,0.761285691
Nickel-Based Alloy,Nickel Coating,Nitrate,5,95,20,913,Dynamic,Low,0.76098468
Titanium-Based Alloy,Nickel Coating,Sulfate,9,0,75,1122,Static,Moderate,0.759682879
Nickel-Based Alloy,Polymer Coating,Mixed,5,0,40,807,Static,High,0.759616049
Stainless Steel,Polymer Coating,Sulfate,7,-10,25,465,Dynamic,Low,0.75938358
Nickel-Based Alloy,Phosphate Conversion,Chloride,12,0,10,154,Static,Moderate,0.758325677
Titanium-Based Alloy,Zinc Coating,Chloride,6,80,35,3283,Static,High,0.757161193
Titanium-Based Alloy,Anodized Coating,Nitrate,2,-20,95,248,Static,Low,0.754690992
Composite Material,Chromium Coating,Mixed,2,85,80,974,Dynamic,Low,0.751410713
Composite Material,Paint Coating,Chloride,5,80,60,2794,Dynamic,Moderate,0.747555007
Copper Alloy,Polymer Coating,Nitrate,8,45,10,2666,Dynamic,Moderate,0.744288793
Composite Material,Zinc Coating,Mixed,2,70,70,2619,Dynamic,Moderate,0.743555319
Nickel-Based Alloy,Chromium Coating,Nitrate,5,5,25,3534,Static,High,0.735061592
Stainless Steel,Polymer Coating,Chloride,5,50,10,2020,Static,Moderate,0.723509129
Composite Material,Polymer Coating,Chloride,10,40,95,2636,Dynamic,Moderate,0.721802886
Titanium-Based Alloy,Zinc Coating,Mixed,12,40,55,2308,Static,Low,0.713984975
Composite Material,Paint Coating,Nitrate,11,90,65,3147,Dynamic,Moderate,0.711370627
Nickel-Based Alloy,Paint Coating,Chloride,10,45,10,178,Static,High,0.710214642
Composite Material,Chromium Coating,Sulfate,11,75,75,2071,Static,Low,0.704091342
Titanium-Based Alloy,Polymer Coating,Mixed,12,30,60,55,Static,Moderate,0.700825173
Copper Alloy,Paint Coating,Carbonate,9,0,15,2730,Dynamic,Moderate,0.695590081
Composite Material,Zinc Coating,Chloride,11,10,65,858,Dynamic,Moderate,0.693761814
Nickel-Based Alloy,Anodized Coating,Nitrate,2,-15,20,602,Dynamic,Low,0.69211953
Nickel-Based Alloy,Anodized Coating,Chloride,8,-10,30,2978,Static,Low,0.685741395
Composite Material,Chromium Coating,Chloride,5,45,95,73,Static,Moderate,0.68408126
Titanium-Based Alloy,Phosphate Conversion,Mixed,9,-20,95,2944,Dynamic,Moderate,0.683616707
Titanium-Based Alloy,Zinc Coating,Carbonate,7,-10,75,616,Dynamic,High,0.68332144
Nickel-Based Alloy,Nickel Coating,Sulfate,8,35,15,778,Static,High,0.673886339
Composite Material,Zinc Coating,Chloride,4,60,55,2766,Dynamic,High,0.671168441
Stainless Steel,Nickel Coating,Carbonate,6,-20,40,2904,Static,Low,0.668343913
Composite Material,Paint Coating,Chloride,9,-15,85,3085,Dynamic,High,0.66713802
Nickel-Based Alloy,Nickel Coating,Sulfate,4,-10,15,1079,Dynamic,High,0.659663761
Titanium-Based Alloy,Nickel Coating,Carbonate,8,50,45,632,Dynamic,High,0.652201953
Composite Material,Paint Coating,Nitrate,11,55,80,3557,Static,High,0.64825785
Composite Material,Phosphate Conversion,Mixed,10,65,90,1268,Dynamic,High,0.640625879
Copper Alloy,Zinc Coating,Carbonate,9,20,10,879,Dynamic,High,0.638810208
Nickel-Based Alloy,Nickel Coating,Carbonate,2,45,15,3490,Static,Low,0.637681407
Titanium-Based Alloy,Anodized Coating,Carbonate,5,5,85,1311,Static,Moderate,0.635414696
Titanium-Based Alloy,Phosphate Conversion,Chloride,10,-20,85,3359,Static,Low,0.635261735
Composite Material,Paint Coating,Chloride,5,30,95,3626,Dynamic,Low,0.629635408
Titanium-Based Alloy,Anodized Coating,Sulfate,5,30,60,1133,Static,Low,0.629446625
Composite Material,Anodized Coating,Chloride,8,0,95,888,Dynamic,High,0.628511916
Titanium-Based Alloy,Paint Coating,Chloride,2,-20,25,1264,Dynamic,High,0.624057669
Copper Alloy,Polymer Coating,Carbonate,5,-5,15,1898,Dynamic,Moderate,0.622778237
Composite Material,Anodized Coating,Sulfate,9,85,75,2143,Dynamic,Low,0.622669048
Nickel-Based Alloy,Anodized Coating,Carbonate,9,20,20,957,Dynamic,Moderate,0.616723273
Titanium-Based Alloy,Phosphate Conversion,Mixed,7,80,70,567,Static,Low,0.616323217
Copper Alloy,Polymer Coating,Carbonate,2,10,10,1630,Static,Moderate,0.613413799
Titanium-Based Alloy,Nickel Coating,Sulfate,5,65,50,2694,Static,Low,0.6102433
Composite Material,Polymer Coating,Sulfate,2,-10,55,1127,Dynamic,High,0.602099945
Titanium-Based Alloy,Zinc Coating,Carbonate,5,0,85,3145,Dynamic,Moderate,0.591838143
Composite Material,Phosphate Conversion,Mixed,4,80,95,278,Dynamic,High,0.591797275
Titanium-Based Alloy,Anodized Coating,Nitrate,7,20,50,2687,Dynamic,Moderate,0.585845534
Stainless Steel,Chromium Coating,Nitrate,6,35,10,631,Static,High,0.582714854
Composite Material,Polymer Coating,Sulfate,4,65,60,2422,Dynamic,High,0.581466899
Stainless Steel,Nickel Coating,Carbonate,7,-5,25,2060,Static,Moderate,0.579563863
Stainless Steel,Polymer Coating,Mixed,2,25,10,2710,Dynamic,Moderate,0.576340046
Composite Material,Anodized Coating,Sulfate,3,80,45,48,Static,Moderate,0.57354185
Stainless Steel,Anodized Coating,Carbonate,8,0,20,3192,Dynamic,Moderate,0.572945781
Nickel-Based Alloy,Zinc Coating,Carbonate,8,45,15,1732,Dynamic,Moderate,0.57118442
Composite Material,Polymer Coating,Nitrate,11,90,75,730,Static,Low,0.570870842
