Alloy_System,Coating_Type,Chemical_Species,pH,Temperature_C,Humidity_%,Exposure_Duration_days,Flow_Condition,Stress_State,Corrosion_Rate_mpy
Titanium-Based Alloy,Polymer Coating,Mixed,12,30,35,3009,Static,Moderate,0.567165438
Nickel-Based Alloy,Chromium Coating,Nitrate,10,15,30,354,Static,Low,0.561602279
Composite Material,Phosphate Conversion,Carbonate,12,-10,85,923,Dynamic,High,0.557816666
Titanium-Based Alloy,Nickel Coating,Carbonate,4,90,35,3149,Dynamic,Moderate,0.555704928
Composite Material,Nickel Coating,Mixed,3,100,80,3456,Static,Low,0.554688815
Titanium-Based Alloy,Anodized Coating,Mixed,8,60,30,2508,Dynamic,High,0.553474534
Titanium-Based Alloy,Chromium Coating,Nitrate,9,-10,60,2405,Static,High,0.548664605
Composite Material,Nickel Coating,Nitrate,5,55,65,2569,Dynamic,High,0.547158202
Titanium-Based Alloy,Chromium Coating,Mixed,3,40,30,1932,Dynamic,Moderate,0.545437279
Composite Material,Anodized Coating,Sulfate,7,15,95,459,Static,High,0.542112631
Titanium-Based Alloy,Anodized Coating,Nitrate,10,60,50,1471,Static,Low,0.541302518
Titanium-Based Alloy,Paint Coating,Chloride,12,-10,15,1808,Dynamic,High,0.53716654
Composite Material,Zinc Coating,Sulfate,5,45,85,2139,Static,High,0.536133769
Nickel-Based Alloy,Chromium Coating,Mixed,4,-15,25,851,Static,High,0.535664487
Stainless Steel,Paint Coating,Mixed,11,-20,10,2932,Dynamic,Moderate,0.533966454
Stainless Steel,Nickel Coating,Carbonate,4,70,15,1123,Static,Low,0.52857225
Titanium-Based Alloy,Paint Coating,Sulfate,12,-15,40,1261,Static,Low,0.526589357
Stainless Steel,Phosphate Conversion,Nitrate,7,65,10,3104,Static,Moderate,0.520341363
Titanium-Based Alloy,Chromium Coating,Nitrate,7,90,55,750,Static,Low,0.518645876
Composite Material,Phosphate Conversion,Chloride,6,85,55,3038,Static,Moderate,0.517934201
Titanium-Based Alloy,Phosphate Conversion,Carbonate,8,25,55,270,Dynamic,Low,0.515627808
Nickel-Based Alloy,Phosphate Conversion,Mixed,4,40,15,2206,Static,High,0.515071112
Titanium-Based Alloy,Nickel Coating,Carbonate,3,40,50,721,Static,Low,0.514885517
Titanium-Based Alloy,Polymer Coating,Sulfate,3,85,10,3539,Dynamic,High,0.511356805
Titanium-Based Alloy,Anodized Coating,Chloride,6,10,55,2699,Static,Low,0.505731294
Composite Material,Nickel Coating,Chloride,3,55,35,3368,Dynamic,Low,0.501638815
Titanium-Based Alloy,Anodized Coating,Chloride,7,-15,50,1963,Static,Low,0.499745618
Composite Material,Polymer Coating,Sulfate,4,40,75,3611,Dynamic,Moderate,0.497571371
Composite Material,Polymer Coating,Carbonate,10,90,80,2843,Dynamic,High,0.49692061
Composite Material,Phosphate Conversion,Nitrate,9,70,70,1929,Static,High,0.492394488
Titanium-Based Alloy,Nickel Coating,Nitrate,10,20,50,3463,Static,Moderate,0.49122105
Stainless Steel,Polymer Coating,Mixed,7,55,10,3037,Dynamic,Moderate,0.490112109
Titanium-Based Alloy,Anodized Coating,Nitrate,8,60,35,2108,Static,High,0.487780804
Nickel-Based Alloy,Chromium Coating,Nitrate,2,20,10,504,Dynamic,Low,0.486506738
Composite Material,Anodized Coating,Chloride,3,-20,60,2149,Dynamic,Moderate,0.485192156
Nickel-Based Alloy,Zinc Coating,Carbonate,5,-5,30,3023,Dynamic,Low,0.4816248
Composite Material,Zinc Coating,Sulfate,2,55,50,739,Static,Low,0.480738376
Titanium-Based Alloy,Polymer Coating,Carbonate,3,60,30,887,Static,Moderate,0.48002526
Titanium-Based Alloy,Polymer Coating,Chloride,6,-15,55,3248,Static,Low,0.47478374
Composite Material,Phosphate Conversion,Chloride,5,95,60,2520,Static,Low,0.473420452
Composite Material,Paint Coating,Mixed,5,35,100,45,Static,High,0.468270133
Titanium-Based Alloy,Zinc Coating,Nitrate,8,70,35,706,Dynamic,Low,0.467713783
Composite Material,Anodized Coating,Nitrate,10,45,60,2453,Dynamic,High,0.467042958
Composite Material,Phosphate Conversion,Carbonate,2,65,45,2798,Dynamic,High,0.462634076
Composite Material,Chromium Coating,Mixed,12,95,40,2689,Dynamic,Moderate,0.458231545
Nickel-Based Alloy,Phosphate Conversion,Mixed,8,95,10,2029,Dynamic,Low,0.448178318
Nickel-Based Alloy,Nickel Coating,Chloride,9,15,15,3648,Static,Low,0.447903695
Composite Material,Chromium Coating,Nitrate,8,30,100,2742,Static,Moderate,0.446238446
Titanium-Based Alloy,Paint Coating,Nitrate,5,45,40,1022,Static,High,0.443185011
Composite Material,Anodized Coating,Sulfate,6,5,90,2319,Dynamic,Low,0.44192116
Stainless Steel,Nickel Coating,Carbonate,6,25,10,1856,Dynamic,High,0.441229705
Composite Material,Anodized Coating,Sulfate,4,10,80,2863,Dynamic,High,0.441107795
Titanium-Based Alloy,Phosphate Conversion,Chloride,8,80,20,2200,Dynamic,Low,0.44070006
Titanium-Based Alloy,Paint Coating,Nitrate,6,65,55,185,Static,Low,0.440647076
Nickel-Based Alloy,Nickel Coating,Sulfate,8,70,10,1900,Static,Moderate,0.440555169
Composite Material,Polymer Coating,Mixed,2,-15,65,2667,Dynamic,High,0.440297521
Stainless Steel,Phosphate Conversion,Mixed,3,25,10,2473,Static,Low,0.440219461
Composite Material,Nickel Coating,Mixed,8,55,90,614,Dynamic,Moderate,0.430292382
Stainless Steel,Anodized Coating,Nitrate,10,-20,15,1160,Dynamic,Low,0.427151558
Titanium-Based Alloy,Polymer Coating,Sulfate,6,85,15,2815,Dynamic,High,0.42565104
Composite Material,Chromium Coating,Chloride,4,10,90,1451,Static,Low,0.424811404
Composite Material,Nickel Coating,Sulfate,7,80,35,960,Dynamic,High,0.423979853
Titanium-Based Alloy,Nickel Coating,Nitrate,6,45,30,2963,Dynamic,Moderate,0.423323397
Composite Material,Polymer Coating,Carbonate,8,65,70,2500,Dynamic,High,0.422882265
Composite Material,Phosphate Conversion,Sulfate,9,90,40,1324,Dynamic,High,0.417652887
Composite Material,Paint Coating,Chloride,5,30,80,3539,Static,Low,0.417319675
Titanium-Based Alloy,Chromium Coating,Carbonate,2,30,30,92,Dynamic,Low,0.414964875
Stainless Steel,Anodized Coating,Mixed,5,45,10,1562,Dynamic,Moderate,0.412665209
Titanium-Based Alloy,Zinc Coating,Nitrate,4,30,45,2916,Static,Low,0.41209877
Titanium-Based Alloy,Phosphate Conversion,Chloride,9,25,25,1930,Dynamic,Low,0.409554155
Composite Material,Chromium Coating,Sulfate,4,40,60,1585,Static,High,0.408094798
Nickel-Based Alloy,Zinc Coating,Mixed,3,-15,15,2068,Static,Low,0.406784554
Composite Material,Paint Coating,Carbonate,9,60,70,2866,Dynamic,Moderate,0.403912083
Stainless Steel,Polymer Coating,Mixed,8,-5,15,1325,Dynamic,Moderate,0.400181713
Titanium-Based Alloy,Anodized Coating,Mixed,12,5,25,997,Static,High,0.399790228
Titanium-Based Alloy,Nickel Coating,Nitrate,2,100,15,3358,Static,High,0.39690868
Titanium-Based Alloy,Zinc Coating,Mixed,7,-15,65,1610,Dynamic,Low,0.393831148
Composite Material,Chromium Coating,Nitrate,11,70,55,287,Static,Low,0.392884613
Composite Material,Nickel Coating,Mixed,11,90,45,926,Dynamic,Low,0.392305096
Nickel-Based Alloy,Polymer Coating,Mixed,5,20,20,2369,Static,Moderate,0.389240108
Composite Material,Nickel Coating,Nitrate,3,45,45,38,Static,Moderate,0.388036625
Composite Material,Polymer Coating,Chloride,9,55,45,555,Dynamic,Moderate,0.381162014
Composite Material,Zinc Coating,Mixed,2,40,55,1547,Static,Moderate,0.377276373
Composite Material,Nickel Coating,Carbonate,12,25,45,3552,Dynamic,Moderate,0.375900599
Titanium-Based Alloy,Nickel Coating,Mixed,8,90,30,524,Static,Moderate,0.372669218
Composite Material,Zinc Coating,Sulfate,10,70,50,3055,Dynamic,Low,0.372296401
Titanium-Based Alloy,Polymer Coating,Sulfate,11,75,10,47,Static,High,0.368957893
Titanium-Based Alloy,Phosphate Conversion,Nitrate,6,5,40,1687,Dynamic,Low,0.364493651
Composite Material,Paint Coating,Carbonate,7,95,70,132,Static,Moderate,0.361616178
Composite Material,Anodized Coating,Mixed,2,5,70,1509,Static,High,0.36141953
Nickel-Based Alloy,Polymer Coating,Sulfate,8,0,15,2074,Static,Low,0.359694376
Stainless Steel,Phosphate Conversion,Mixed,10,45,10,3510,Dynamic,Low,0.357448123
Composite Material,Polymer Coating,Mixed,7,20,100,1215,Dynamic,Moderate,0.35728662
Titanium-Based Alloy,Phosphate Conversion,Mixed,5,35,25,3514,Dynamic,High,0.355608463
Composite Material,Nickel Coating,Nitrate,12,10,70,2598,Static,Moderate,0.352572389
Composite Material,Paint Coating,Chloride,4,45,40,329,Dynamic,Low,0.346525046
Stainless Steel,Paint Coating,Mixed,9,30,15,776,Static,Low,0.343160377
Titanium-Based Alloy,Nickel Coating,Mixed,11,0,30,2201,Static,Moderate,0.342713851
Titanium-Based Alloy,Paint Coating,Carbonate,9,-20,65,40,Static,Moderate,0.341761158
Titanium-Based Alloy,Chromium Coating,Mixed,10,75,45,535,Static,Low,0.340543313
Titanium-Based Alloy,Phosphate Conversion,Chloride,8,85,15,2052,Static,Moderate,0.337499881
Composite Material,Anodized Coating,Chloride,8,10,50,1572,Dynamic,Moderate,0.328505144
Composite Material,Chromium Coating,Carbonate,9,0,100,747,Static,High,0.327343956
Titanium-Based Alloy,Polymer Coating,Chloride,2,35,10,1021,Static,High,0.324524524
Composite Material,Polymer Coating,Nitrate,3,45,30,97,Dynamic,High,0.323849346
Titanium-Based Alloy,Polymer Coating,Chloride,12,-20,15,1098,Dynamic,Moderate,0.323327092
Titanium-Based Alloy,Paint Coating,Sulfate,6,5,50,215,Static,Low,0.322662617
Composite Material,Phosphate Conversion,Nitrate,12,30,45,2314,Dynamic,Moderate,0.315974504
Titanium-Based Alloy,Nickel Coating,Carbonate,12,5,20,1054,Static,High,0.310929126
Composite Material,Polymer Coating,Chloride,4,5,40,228,Dynamic,High,0.310245207
Composite Material,Anodized Coating,Sulfate,11,90,20,3345,Dynamic,Moderate,0.310150402
Composite Material,Anodized Coating,Mixed,3,95,35,3065,Dynamic,Moderate,0.308152258
Composite Material,Anodized Coating,Mixed,7,50,70,3297,Static,High,0.307434108
Composite Material,Phosphate Conversion,Carbonate,12,20,45,107,Static,High,0.30734219
Titanium-Based Alloy,Nickel Coating,Carbonate,10,40,30,2299,Static,High,0.306947806
Composite Material,Anodized Coating,Chloride,12,20,25,917,Static,Moderate,0.306254106
Composite Material,Anodized Coating,Nitrate,10,95,80,1474,Static,Low,0.304315605
Composite Material,Polymer Coating,Mixed,4,65,75,3236,Dynamic,Low,0.30277909
Composite Material,Zinc Coating,Sulfate,10,90,35,651,Static,High,0.298671659
Titanium-Based Alloy,Zinc Coating,Carbonate,4,80,40,184,Static,Low,0.297625142
Nickel-Based Alloy,Polymer Coating,Mixed,7,10,10,726,Static,High,0.294266582
Nickel-Based Alloy,Zinc Coating,Carbonate,6,20,15,1825,Static,Moderate,0.289033924
Titanium-Based Alloy,Polymer Coating,Chloride,9,80,10,770,Static,High,0.288882114
Composite Material,Paint Coating,Carbonate,9,55,70,3089,Dynamic,Low,0.279446619
Composite Material,Nickel Coating,Carbonate,7,-15,80,1615,Dynamic,High,0.276971051
Titanium-Based Alloy,Polymer Coating,Carbonate,6,100,15,532,Static,High,0.269838811
Titanium-Based Alloy,Chromium Coating,Carbonate,6,0,45,3324,Dynamic,Low,0.26740528
Titanium-Based Alloy,Paint Coating,Carbonate,12,25,20,2067,Static,Low,0.264742006
Titanium-Based Alloy,Zinc Coating,Mixed,8,15,20,3606,Dynamic,High,0.261076763
Composite Material,Zinc Coating,Chloride,4,75,25,785,Dynamic,Moderate,0.258945639
Titanium-Based Alloy,Polymer Coating,Carbonate,4,65,20,887,Dynamic,Moderate,0.256744566
Titanium-Based Alloy,Polymer Coating,Sulfate,8,20,25,43,Static,Low,0.256380199
Titanium-Based Alloy,Nickel Coating,Carbonate,4,55,20,3413,Static,High,0.255395376
Composite Material,Anodized Coating,Mixed,12,15,55,1945,Static,Low,0.253945515
Titanium-Based Alloy,Polymer Coating,Carbonate,4,0,40,391,Static,Moderate,0.251738743
Composite Material,Polymer Coating,Carbonate,10,20,90,3121,Static,Low,0.250950066
Titanium-Based Alloy,Anodized Coating,Sulfate,8,0,30,2285,Static,Low,0.249170173
Titanium-Based Alloy,Chromium Coating,Chloride,9,-5,15,1023,Dynamic,High,0.249070514
Titanium-Based Alloy,Paint Coating,Nitrate,4,65,15,1645,Static,High,0.247359333
Composite Material,Polymer Coating,Sulfate,6,15,65,1000,Static,Moderate,0.246636118
Composite Material,Paint Coating,Carbonate,9,55,80,1020,Static,Moderate,0.246457087
Composite Material,Zinc Coating,Chloride,2,30,15,3252,Static,High,0.246275417
Composite Material,Chromium Coating,Sulfate,8,15,65,154,Static,Moderate,0.24458142
Titanium-Based Alloy,Zinc Coating,Mixed,3,30,15,3450,Dynamic,Moderate,0.242206435
Composite Material,Paint Coating,Mixed,7,25,95,3317,Static,Moderate,0.240602155
Composite Material,Paint Coating,Nitrate,3,30,45,3563,Static,Low,0.237576967
Composite Material,Zinc Coating,Carbonate,6,-20,65,2539,Dynamic,High,0.237407213
Composite Material,Polymer Coating,Mixed,10,-10,80,2777,Static,High,0.235753711
Composite Material,Zinc Coating,Carbonate,12,5,35,136,Dynamic,Moderate,0.234067658
Composite Material,Anodized Coating,Nitrate,9,55,55,1401,Static,Low,0.232930458
Titanium-Based Alloy,Phosphate Conversion,Nitrate,10,-15,45,3244,Static,Moderate,0.232481784
Titanium-Based Alloy,Paint Coating,Carbonate,9,80,20,2558,Dynamic,Moderate,0.227034702
Titanium-Based Alloy,Paint Coating,Sulfate,4,70,10,2025,Static,High,0.226840198
Titanium-Based Alloy,Phosphate Conversion,Sulfate,6,70,10,2955,Static,High,0.225215867
Titanium-Based Alloy,Paint Coating,Sulfate,4,-5,25,781,Dynamic,Moderate,0.22358364
Composite Material,Phosphate Conversion,Carbonate,8,0,70,2549,Dynamic,High,0.221445886
Composite Material,Anodized Coating,Mixed,7,45,80,1136,Static,Low,0.218894756
Composite Material,Paint Coating,Chloride,10,55,25,3471,Dynamic,Moderate,0.213494401
Composite Material,Polymer Coating,Mixed,7,-5,80,2697,Static,High,0.209380188
Composite Material,Paint Coating,Carbonate,9,20,70,757,Static,Moderate,0.209209448
Composite Material,Paint Coating,Carbonate,7,30,40,1510,Dynamic,High,0.206246514
Composite Material,Anodized Coating,Carbonate,7,90,35,2901,Dynamic,Low,0.203787778
Composite Material,Phosphate Conversion,Mixed,6,100,35,2899,Dynamic,Low,0.203237178
Composite Material,Nickel Coating,Chloride,7,0,60,787,Static,Low,0.198046859
Composite Material,Chromium Coating,Carbonate,10,30,35,378,Dynamic,High,0.196785465
Composite Material,Nickel Coating,Sulfate,12,40,30,2513,Static,Low,0.187858981
Composite Material,Polymer Coating,Carbonate,3,20,50,821,Static,Low,0.186754537
Composite Material,Phosphate Conversion,Mixed,6,55,45,253,Dynamic,Low,0.186650208
Composite Material,Phosphate Conversion,Chloride,8,85,30,1073,Static,Low,0.186091779
Composite Material,Polymer Coating,Sulfate,9,-15,40,2143,Dynamic,Moderate,0.185007659
Composite Material,Zinc Coating,Sulfate,11,-5,20,3540,Dynamic,Moderate,0.18254544
Nickel-Based Alloy,Zinc Coating,Mixed,5,50,10,2610,Static,Low,0.181944572
Composite Material,Zinc Coating,Nitrate,8,0,50,3179,Static,High,0.18028212
Composite Material,Chromium Coating,Sulfate,9,90,15,1098,Dynamic,High,0.179910879
Composite Material,Polymer Coating,Nitrate,11,90,10,2991,Dynamic,High,0.17885206
Composite Material,Polymer Coating,Carbonate,7,40,40,1175,Static,High,0.175083534
Composite Material,Zinc Coating,Mixed,7,55,45,1562,Dynamic,Low,0.174055299
Composite Material,Anodized Coating,Nitrate,2,55,15,656,Dynamic,High,0.173132443
Composite Material,Phosphate Conversion,Sulfate,11,40,15,3407,Dynamic,Low,0.172190261
Composite Material,Paint Coating,Mixed,3,0,45,2164,Static,Low,0.171236229
Composite Material,Anodized Coating,Carbonate,8,35,65,1119,Static,Low,0.164745524
Composite Material,Polymer Coating,Carbonate,6,-5,95,916,Static,Low,0.163440134
Composite Material,Nickel Coating,Chloride,7,-10,30,3091,Dynamic,Moderate,0.161180651
Composite Material,Nickel Coating,Mixed,11,-10,30,230,Dynamic,Moderate,0.16102435
Composite Material,Zinc Coating,Carbonate,5,45,55,2593,Static,Low,0.157682598
Titanium-Based Alloy,Anodized Coating,Mixed,5,45,20,118,Static,Moderate,0.156553393
Titanium-Based Alloy,Anodized Coating,Sulfate,12,-15,10,589,Static,High,0.155491669
Composite Material,Zinc Coating,Nitrate,10,25,50,2036,Static,Low,0.152111658
Composite Material,Anodized Coating,Sulfate,5,-20,55,2845,Static,Moderate,0.151566066
Composite Material,Nickel Coating,Nitrate,3,20,20,3517,Dynamic,Low,0.151473659
Titanium-Based Alloy,Anodized Coating,Carbonate,6,15,20,196,Dynamic,Moderate,0.148939177
Titanium-Based Alloy,Nickel Coating,Carbonate,10,-20,30,2824,Dynamic,Low,0.14474799
Titanium-Based Alloy,Anodized Coating,Mixed,8,-20,20,3081,Dynamic,High,0.14429686
Composite Material,Paint Coating,Sulfate,4,80,15,2078,Dynamic,High,0.139225036
Composite Material,Paint Coating,Carbonate,8,95,20,450,Dynamic,Moderate,0.136211253
Composite Material,Paint Coating,Nitrate,8,0,50,3049,Static,Moderate,0.135221285
Composite Material,Chromium Coating,Chloride,5,15,25,3495,Static,Low,0.133977752
Composite Material,Nickel Coating,Mixed,5,-15,50,2086,Static,High,0.12536913
Composite Material,Nickel Coating,Carbonate,3,10,20,805,Static,High,0.123335063
Composite Material,Polymer Coating,Sulfate,6,20,15,2268,Dynamic,High,0.120029671
Composite Material,Paint Coating,Mixed,9,15,35,699,Dynamic,Low,0.11593644
Composite Material,Phosphate Conversion,Sulfate,9,-15,35,3030,Static,High,0.115349001
Composite Material,Polymer Coating,Chloride,5,100,15,2112,Static,Low,0.111544663
Composite Material,Polymer Coating,Chloride,6,25,25,2590,Static,Low,0.110548984
Composite Material,Phosphate Conversion,Sulfate,3,85,10,2286,Static,Low,0.108482214
Composite Material,Nickel Coating,Nitrate,6,55,25,1845,Static,Low,0.105455611
Titanium-Based Alloy,Anodized Coating,Nitrate,7,0,15,2178,Static,Moderate,0.103009499
Titanium-Based Alloy,Zinc Coating,Nitrate,7,20,10,1684,Dynamic,Low,0.094331431
Composite Material,Chromium Coating,Nitrate,8,0,35,655,Static,Low,0.093129673
Titanium-Based Alloy,Chromium Coating,Carbonate,5,30,10,309,Static,Moderate,0.091914226
Composite Material,Zinc Coating,Carbonate,3,40,15,3221,Static,Low,0.085863972
Titanium-Based Alloy,Polymer Coating,Sulfate,8,-5,10,2358,Static,Moderate,0.082418599
Composite Material,Phosphate Conversion,Mixed,7,95,15,3166,Static,Moderate,0.07919929
Composite Material,Zinc Coating,Sulfate,11,-10,15,3209,Static,Low,0.078981952
Composite Material,Paint Coating,Nitrate,9,5,25,1384,Static,Moderate,0.075251324
Composite Material,Paint Coating,Carbonate,8,55,10,2297,Dynamic,High,0.071970351
Titanium-Based Alloy,Polymer Coating,Mixed,4,-15,15,1237,Static,Low,0.069261882
Composite Material,Nickel Coating,Mixed,3,75,10,2274,Static,Moderate,0.065049127
Composite Material,Zinc Coating,Mixed,11,0,15,37,Static,Moderate,0.063677822
Composite Material,Polymer Coating,Carbonate,8,50,15,960,Dynamic,Moderate,0.062896929
Composite Material,Nickel Coating,Carbonate,4,25,20,2890,Dynamic,Low,0.055363353
Composite Material,Anodized Coating,Nitrate,11,0,10,1186,Static,Moderate,0.051636144
Composite Material,Anodized Coating,Carbonate,12,-10,15,1258,Static,Low,0.050551524
Composite Material,Polymer Coating,Carbonate,4,20,15,3621,Dynamic,Moderate,0.050458039
Titanium-Based Alloy,Zinc Coating,Nitrate,7,-20,10,2921,Static,Low,0.050356848
Composite Material,Phosphate Conversion,Nitrate,5,10,15,1272,Static,High,0.050037534
Composite Material,Nickel Coating,Mixed,7,-5,20,2065,Dynamic,Low,0.048631456
Composite Material,Phosphate Conversion,Mixed,6,55,10,2250,Dynamic,Moderate,0.047890281
Composite Material,Chromium Coating,Carbonate,3,20,10,1306,Dynamic,Low,0.047453449
Composite Material,Zinc Coating,Carbonate,10,30,10,3606,Static,High,0.043235676
Composite Material,Chromium Coating,Nitrate,8,20,10,1741,Static,High,0.040632468
Composite Material,Anodized Coating,Carbonate,4,35,10,3380,Static,High,0.037475639
Composite Material,Phosphate Conversion,Carbonate,4,50,10,1012,Static,Moderate,0.035290693
Composite Material,Polymer Coating,Carbonate,4,40,10,2197,Dynamic,Moderate,0.03507325
